Temperature,L,R,A_M,Color,Spectral_Class,class
0.02966290953994903,2.731275458805422E-09,8.293594901820466E-05,0.8767979987492184,0,0,0
0.02897979559128767,4.94455039956154E-10,7.482711241865246E-05,0.8918073796122579,0,0,0
0.017366858464044562,2.590002590246521E-10,4.803715858975219E-05,0.9574734208880551,0,0,0
0.022621581146055017,1.4127286855890117E-10,7.780377395519694E-05,0.8933708567854911,0,0,0
0,6.828188647013554E-11,4.855037609605296E-05,1,0,0,0
0.02367252568245711,6.710461256547805E-10,5.214289864015836E-05,0.9036898061288307,0,0,0
0.018338982160216497,7.652280380273813E-10,6.086759624727148E-05,0.9111944965603503,0,0,0
0.017366858464044562,3.767276494904031E-10,4.495785355194757E-05,0.9168230143839902,0,0,0
0.018680539134547175,7.181370818410809E-10,5.214289864015836E-05,0.9183864915572233,0,0,0
0.01999421980504979,1.1772739046575097E-10,6.24072487661738E-05,0.8746091307066918,0,0,0
0.04364047187409685,3.319912411134177E-09,0.00025742990116046693,0.7070043777360852,0,0,1
0.03126559995796222,1.4268559724449018E-08,0.0001887100770667936,0.7414008755472171,0,0,1
0.03139696802501248,3.767276494904031E-10,9.627960418202471E-05,0.7858036272670421,0,0,1
0.04437613304957831,6.3808245632437014E-09,0.00019738345292327666,0.7004377736085053,0,0,1
0.018680539134547175,6.121824304219049E-10,6.753942382918151E-05,0.7411507191994997,0,0,1
0.036809332387483254,4.379458925325936E-09,0.00011886117445925864,0.7814258911819889,0,0,1
0.022595307532644965,2.0249111160109168E-09,7.780377395519694E-05,0.8352095059412135,0,0,1
0.04605764430782166,4.22641331772046E-09,0.00023690120090843602,0.7104440275171984,0,0,1
0.032920837602795516,4.167549622487584E-09,9.663885643643526E-05,0.7958098811757349,0,0,1
0.03946296734189853,4.581950036927028E-08,0.00017582831765864423,0.7223264540337713,0,0,1
0.6058957988492157,6.583315674844795E-08,0,0.7035647279549719,0.0625,0.16666666666666666,2
0.1524132313917133,4.826823009095789E-10,2.0220769748250395E-06,0.8111319574734209,0.125,0.3333333333333333,2
