#height_over_sea_level	fall	net_fall	flow	power_of_hydroelectrical_turbine
0.8615384615384616	0.8390410958904110	0.8638803774972423	0.1750000000000000	0.2351098375286287
0.9538461538461539	0.9303652968036530	0.9521264860889815	0.1750000000000000	0.2465516499822582
0.3538461538461538	0.3522831050228312	0.3487437185929649	0.6250000000000000	0.4344496295738756
0.2846153846153846	0.2837899543378997	0.2825591371491604	0.6250000000000000	0.3976564768120773
1.0000000000000000	0.9652968036529681	0.9471626424806964	0.8500000000000000	0.9062300405371986
0.7692307692307693	0.7415525114155251	0.7513665890427750	0.5499999999999999	0.5609869786346384
0.3307692307692308	0.3305936073059361	0.3321975732320139	0.5499999999999999	0.3785695852732767
0.8153846153846154	0.8173515981735159	0.8235077828165217	0.1000000000000000	0.1570751927398630
0.2846153846153846	0.2872146118721460	0.2991052825101117	0.4000000000000000	0.2657530564187482
0.5615384615384615	0.5360730593607307	0.5528128447113618	0.5499999999999999	0.4826168535822195
0.1000000000000000	0.1034246575342466	0.1172079911753892	0.4750000000000000	0.2340356555305857
0.1000000000000000	0.1045662100456622	0.1226130653266331	0.4000000000000000	0.1963038031849120
0.2615384615384616	0.2632420091324201	0.2716386812109328	0.4750000000000000	0.3025397576370147
0.7230769230769231	0.6993150684931508	0.7226866037504595	0.3250000000000000	0.3454344576940033
0.5153846153846154	0.4904109589041097	0.5086897904154922	0.5499999999999999	0.4644267265943377
0.4923076923076923	0.4652968036529682	0.4750459615148915	0.7000000000000000	0.5553354265007904
0.5153846153846154	0.5205479452054794	0.5367079298933694	0.1000000000000000	0.1125853485446393
0.6307692307692307	0.6079908675799088	0.6344404951587204	0.3250000000000000	0.3217798733346953
0.9538461538461539	0.9219178082191783	0.9162765044735874	0.7000000000000000	0.7629009365490693
0.4923076923076923	0.4687214611872146	0.4922539526902807	0.4750000000000000	0.3996871001387081
0.8846153846153847	0.8511415525114155	0.8368550067410223	0.8500000000000000	0.8489225922301911
0.3769230769230769	0.3810502283105022	0.3958450790538056	0.2500000000000000	0.1944231782453952
0.5615384615384615	0.5349315068493152	0.5472974629243782	0.6250000000000000	0.5373533617918087
0.7692307692307693	0.7369863013698630	0.7265473710013484	0.8500000000000000	0.7896361329448071
0.9538461538461539	0.9230593607305938	0.9223434244392696	0.6250000000000000	0.6960903646197353
