T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,Holiday_ID,holiday,school,nat_demand
25.86525879,0.018576382,0.016174316,21.85054582,23.48244629,0.017271755,0.001855373,10.32894873,22.66213379,0.016562222,0.09609985,5.364147952,0,0,0,970.345
25.89925537,0.018653292,0.016418457,22.16694428,23.39925537,0.017264742,0.001327038,10.68151714,22.57894287,0.016509432,0.087646484,5.572471346,0,0,0,912.1755
25.93728027,0.01876786,0.015480042,22.45491088,23.34353027,0.017211463,0.001428127,10.87492379,22.53103027,0.016479041,0.07873535,5.871183745,0,0,0,900.2688
25.95754395,0.018890057,0.016273499,22.11048087,23.23879395,0.017127667,0.002598763,10.51862016,22.51223145,0.016486797,0.06838989,5.883621114,0,0,0,889.9538
25.97384033,0.018981151,0.017280579,21.18608852,23.07540283,0.017058544,0.001729012,9.733588918,22.48165283,0.016455822,0.06436157,5.611723559,0,0,0,893.6865
26.03414307,0.019079996,0.014541626,20.06203782,22.99508057,0.01702769,0.001485348,9.08727316,22.45601807,0.016409708,0.061538696,5.280351132,0,0,0,879.2323
26.6914917,0.019331587,0.006645203,21.62349567,24.2852417,0.017424239,0.002176285,11.39539342,22.9493042,0.016569747,0.060897827,5.126910803,0,0,0,932.4876
27.67406616,0.019369703,0.00686264,23.775317,26.18969116,0.018072706,0.00453949,12.872866,24.08812866,0.016676527,0.05619812,5.060610609,0,0,0,1048.972
28.76040039,0.019171301,0.010231018,24.6361515,27.91665039,0.018454138,0.004291534,14.54802667,25.47915039,0.016645972,0.051071167,4.915658463,0,0,0,1167.9074
29.76665649,0.018759238,0.009017944,25.86267136,29.17290649,0.018675314,0.00492096,15.08168788,26.70415649,0.016607748,0.058685303,4.685579709,0,0,0,1257.5069
30.52376709,0.018408278,0.004322052,26.82808151,30.07064209,0.018820265,0.00743866,15.28723923,27.64876709,0.01673744,0.07723999,4.069101872,0,0,0,1254.583
30.98180542,0.018133579,0.00279808,26.65431045,30.63805542,0.018843113,0.009872437,15.28092683,28.13805542,0.017263828,0.095458984,3.122228324,0,0,0,1216.9004
31.21120605,0.017904576,0.0026474,25.75416055,30.88308105,0.018789586,0.01342392,15.03815734,28.33620605,0.017370518,0.11364746,2.90053138,0,0,0,1202.1556
31.15651855,0.017744431,0.001464844,24.90217224,30.82839355,0.018728623,0.016586304,14.69807932,28.23464355,0.01738585,0.1281128,2.914702659,0,0,0,1197.2616
30.81676636,0.01765308,0.000401378,24.21445514,30.45739136,0.018713566,0.018455505,14.07604797,27.91051636,0.01740894,0.12640381,3.026640617,0,0,0,1169.0034
30.05721436,0.017706675,2.70084E-05,23.76680031,29.77596436,0.018935008,0.018684387,12.47207795,27.29158936,0.017500682,0.11956787,3.247855434,0,0,0,1136.7054
28.80245361,0.018042427,8.36666E-13,22.75511413,28.47432861,0.019415718,0.024085999,9.446227274,26.23995361,0.017706733,0.119659424,3.290524877,0,0,0,1101.9447
27.36635742,0.018568844,8.36856E-13,20.67880942,26.56948242,0.019148678,0.028442383,7.084643851,24.96010742,0.017905086,0.11782837,3.331619551,0,0,0,1107.0406
26.61394653,0.018851262,0.000406981,19.92638635,25.81707153,0.018851262,0.024963379,7.028678289,24.23894653,0.017653447,0.110961914,4.027541452,0,0,0,1142.1548
26.26726685,0.018889746,0.00142622,19.42842398,25.25164185,0.018554052,0.021995544,7.178384138,23.73601685,0.017432531,0.105407715,4.50568921,0,0,0,1097.2334
26.08352051,0.018859386,0.002457619,19.5695168,24.77102051,0.018256664,0.018157959,7.502368873,23.41164551,0.017356396,0.09338379,4.447957927,0,0,0,1074.6544
25.95629272,0.018775864,0.002873421,19.65992258,24.37035522,0.017967148,0.013534546,7.758983977,23.15941772,0.017249985,0.08782959,4.26351307,0,0,0,1041.3244
25.8612915,0.01866179,0.003154755,19.70297711,24.056604,0.017792039,0.009838104,7.965630479,22.9394165,0.017105393,0.09085083,4.160836315,0,0,0,999.634
25.76918945,0.01855488,0.003251076,19.70035169,23.82387695,0.01765461,0.008983612,8.157669765,22.73012695,0.016922189,0.09188843,4.209795612,0,0,0,968.0526
25.68181763,0.01849374,0.003897667,19.89334975,23.62713013,0.017540066,0.006481171,8.287432557,22.53338013,0.016746609,0.08557129,4.433089165,0,0,0,944.0556
25.60231934,0.01848609,0.00462532,19.86387112,23.47731934,0.017448492,0.003055573,8.476266655,22.36013184,0.016609259,0.08480835,4.673439337,0,0,0,928.7193
25.57265625,0.018447837,0.008533478,20.36202291,23.36953125,0.017387351,0.001541615,8.692402541,22.24453125,0.01650997,0.08291626,4.924833043,0,0,0,909.5566
25.54714355,0.018409494,0.008693695,20.65157366,23.28151855,0.01732612,0.001173019,8.831439285,22.14870605,0.016410593,0.084350586,5.111985619,0,0,0,894.6543
25.52785645,0.018401654,0.008224487,20.48153763,23.20754395,0.017264875,0.002643585,8.900691882,22.07473145,0.016349347,0.0899353,5.328663267,0,0,0,884.6659
25.54476318,0.018416742,0.00642395,20.43622985,23.22445068,0.017218927,0.007364273,9.098555343,22.02913818,0.016326288,0.092926025,5.532604752,0,0,0,862.9888
26.30422363,0.018576866,0.00390625,23.66059609,24.58547363,0.017661339,0.0105896,12.10672122,22.36672363,0.016547447,0.09460449,5.917201064,0,0,0,871.6873
